k,inertia,silhouette
3,2793.4198208486305,0.11841898862629541
4,2604.9873960151526,0.10793456881599837
5,2489.70882261767,0.06214741317525372
6,2328.12651722133,0.06983596476153668
7,2251.0495665485255,0.11258051717291366
8,2143.6674377255003,0.060615945490245994
9,2073.0395680201796,0.053707539258764835
10,1956.0855628343434,0.08588424767664808
