country_txt,attacks_total,avg_killed,avg_wounded,median_killed,max_killed,severity_index,attacktype_Armed Assault,attacktype_Assassination,attacktype_Bombing/Explosion,attacktype_Facility/Infrastructure Attack,attacktype_Hijacking,attacktype_Hostage Taking (Barricade Incident),attacktype_Hostage Taking (Kidnapping),attacktype_Unarmed Assault,attacktype_Unknown,targettype_Abortion Related,targettype_Airports & Aircraft,targettype_Business,targettype_Educational Institution,targettype_Food or Water Supply,targettype_Government (Diplomatic),targettype_Government (General),targettype_Journalists & Media,targettype_Maritime,targettype_Military,targettype_NGO,targettype_Other,targettype_Police,targettype_Private Citizens & Property,targettype_Religious Figures/Institutions,targettype_Telecommunication,targettype_Terrorists/Non-State Militia,targettype_Tourists,targettype_Transportation,targettype_Unknown,targettype_Utilities,targettype_Violent Political Party,weaptype_Biological,weaptype_Chemical,weaptype_Explosives,weaptype_Fake Weapons,weaptype_Firearms,weaptype_Incendiary,weaptype_Melee,weaptype_Other,weaptype_Radiological,weaptype_Sabotage Equipment,weaptype_Unknown,"weaptype_Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",pct_successful,pct_suicide,num_groups
Bahrain,169,0.17159763313609466,0.9940828402366864,0.0,3.0,0.5010439726579314,0.1893491124260355,0.011834319526627219,0.6449704142011834,0.1301775147928994,0.0,0.005917159763313609,0.0,0.005917159763313609,0.011834319526627219,0.0,0.0,0.05325443786982249,0.05325443786982249,0.0,0.01775147928994083,0.029585798816568046,0.0,0.0,0.023668639053254437,0.0,0.0,0.44970414201183434,0.21893491124260356,0.03550295857988166,0.0,0.0,0.0,0.011834319526627219,0.10059171597633136,0.005917159763313609,0.0,0.0,0.0,0.6390532544378699,0.0,0.047337278106508875,0.2958579881656805,0.005917159763313609,0.0,0.0,0.0,0.011834319526627219,0.0,0.8461538461538461,0.0,10.0
Bangladesh,1174,0.4514480408858603,2.6252129471890973,0.0,28.0,0.6604232056454681,0.13373083475298125,0.08347529812606473,0.5400340715502555,0.1797274275979557,0.0,0.00596252129471891,0.03577512776831346,0.007666098807495741,0.013628620102214651,0.0,0.0008517887563884157,0.06643952299829642,0.08347529812606473,0.0,0.0034071550255536627,0.17802385008517888,0.020442930153321975,0.0017035775127768314,0.008517887563884156,0.005110732538330494,0.0,0.08858603066439523,0.20017035775127767,0.041737649063032366,0.0008517887563884157,0.019591141396933562,0.0,0.08432708688245315,0.06643952299829642,0.0008517887563884157,0.12947189097103917,0.0,0.0,0.5954003407155025,0.0,0.10221465076660988,0.20017035775127767,0.06814310051107325,0.0,0.0,0.004258943781942078,0.029812606473594547,0.0,0.9054514480408858,0.011073253833049404,33.0
Belarus,11,1.1818181818181819,19.272727272727273,0.0,13.0,0.8899780715643442,0.0,0.0,0.5454545454545454,0.36363636363636365,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Belgium,32,1.46875,9.65625,0.0,18.0,0.8336212654268079,0.21875,0.03125,0.1875,0.28125,0.0,0.03125,0.0,0.25,0.0,0.0,0.0625,0.0,0.0,0.0,0.09375,0.21875,0.0,0.0,0.03125,0.0,0.0,0.1875,0.15625,0.15625,0.03125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.25,0.1875,0.0,0.09375,0.28125,0.1875,0.0,0.0,0.0,0.0,0.0,0.6875,0.09375,8.0
Belize,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Benin,3,0.6666666666666666,1.6666666666666667,1.0,1.0,1.1337324605540517,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Bhutan,6,1.5,0.8333333333333334,0.5,4.0,1.0067091185462356,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Bolivia,21,0.5714285714285714,3.2857142857142856,0.0,8.0,0.5337092263896827,0.09523809523809523,0.047619047619047616,0.42857142857142855,0.3333333333333333,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.3333333333333333,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,0.0,0.047619047619047616,0.38095238095238093,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.9523809523809523,0.0,3.0
Bosnia-Herzegovina,35,0.2571428571428571,0.9714285714285714,0.0,2.0,0.5261713656013709,0.14285714285714285,0.08571428571428572,0.5714285714285714,0.11428571428571428,0.0,0.0,0.0,0.05714285714285714,0.02857142857142857,0.0,0.0,0.08571428571428572,0.0,0.0,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.0,0.02857142857142857,0.0,0.0,0.11428571428571428,0.37142857142857144,0.22857142857142856,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.08571428571428572,0.11428571428571428,0.0,0.0,0.0,0.08571428571428572,0.0,0.9428571428571428,0.0,4.0
Brazil,48,0.5416666666666666,0.4375,0.0,5.0,0.453415638816486,0.22916666666666666,0.375,0.20833333333333334,0.10416666666666667,0.0,0.020833333333333332,0.0625,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.08333333333333333,0.4375,0.0,0.0,0.041666666666666664,0.0,0.020833333333333332,0.10416666666666667,0.125,0.020833333333333332,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.1875,0.020833333333333332,0.5208333333333334,0.125,0.08333333333333333,0.0,0.0,0.0,0.0625,0.0,0.75,0.020833333333333332,7.0
