country_txt,attacks_total,avg_killed,avg_wounded,median_killed,max_killed,severity_index
Afghanistan,18796,3.5709725473505003,3.5345818259204087,1.0,466.0,1.4696352265486803
Albania,17,0.058823529411764705,0.11764705882352941,0.0,1.0,0.08154672712469944
Algeria,1360,2.7044117647058825,2.478676470588235,1.0,69.0,1.3360631634916065
Angola,81,13.74074074074074,11.765432098765432,5.0,259.0,2.127449590796956
Argentina,35,0.05714285714285714,0.2857142857142857,0.0,2.0,0.1931877933944016
Armenia,12,0.6666666666666666,0.25,0.0,6.0,0.40433585532663474
Australia,52,0.2692307692307692,0.6346153846153846,0.0,3.0,0.2985697315029196
Austria,23,0.43478260869565216,1.5217391304347827,0.0,5.0,0.47869860916753976
Azerbaijan,19,0.6842105263157895,1.5789473684210527,0.0,5.0,0.8871236867254376
Bahamas,1,0.0,0.0,0.0,0.0,0.0
Bahrain,169,0.17159763313609466,0.9940828402366864,0.0,3.0,0.5010439726579314
Bangladesh,1174,0.4514480408858603,2.6252129471890973,0.0,28.0,0.6604232056454681
Belarus,11,1.1818181818181819,19.272727272727273,0.0,13.0,0.8899780715643442
Belgium,32,1.46875,9.65625,0.0,18.0,0.8336212654268079
Belize,2,0.0,0.0,0.0,0.0,0.0
Benin,3,0.6666666666666666,1.6666666666666667,1.0,1.0,1.1337324605540517
Bhutan,6,1.5,0.8333333333333334,0.5,4.0,1.0067091185462356
Bolivia,21,0.5714285714285714,3.2857142857142856,0.0,8.0,0.5337092263896827
Bosnia-Herzegovina,35,0.2571428571428571,0.9714285714285714,0.0,2.0,0.5261713656013709
Brazil,48,0.5416666666666666,0.4375,0.0,5.0,0.453415638816486
Bulgaria,19,0.6842105263157895,1.6842105263157894,0.0,7.0,0.4468219170340002
Burkina Faso,392,4.420918367346939,1.8214285714285714,2.0,58.0,1.333342177637548
Burundi,388,2.6056701030927836,2.729381443298969,1.0,36.0,1.3187126787977141
Cambodia,21,1.0476190476190477,1.8571428571428572,0.0,8.0,0.8112349516513679
Cameroon,860,3.6116279069767443,1.8953488372093024,1.0,180.0,1.0179512003790456
Canada,83,0.3614457831325301,1.927710843373494,0.0,10.0,0.5198730926503277
Central African Republic,373,6.512064343163539,4.297587131367292,1.0,136.0,1.4527218728845905
Chad,114,12.043859649122806,16.105263157894736,5.0,160.0,2.1097912006365895
Chile,229,0.034934497816593885,0.3231441048034934,0.0,2.0,0.16294507310628936
China,173,4.855491329479769,6.416184971098266,0.0,184.0,1.4735929824005487
Colombia,2712,1.2275073746312684,1.829646017699115,0.0,119.0,0.7496911690766191
Comoros,3,0.0,0.3333333333333333,0.0,0.0,0.23104906018664842
Costa Rica,3,0.3333333333333333,0.0,0.0,1.0,0.23104906018664842
Croatia,12,0.3333333333333333,1.1666666666666667,0.0,2.0,0.5801869553555172
Cuba,1,1.0,0.0,1.0,1.0,0.6931471805599453
Cyprus,23,0.0,0.0,0.0,0.0,0.0
Czech Republic,21,0.09523809523809523,1.2380952380952381,0.0,1.0,0.33994604761645353
Democratic Republic of the Congo,1490,4.6832214765100675,1.3389261744966443,1.0,400.0,1.1900301722226667
Denmark,12,0.25,1.0833333333333333,0.0,1.0,0.6486020013613364
Djibouti,4,1.25,5.5,0.0,5.0,1.2809909948508147
Dominica,1,0.0,0.0,0.0,0.0,0.0
Dominican Republic,2,1.0,0.5,1.0,2.0,0.6931471805599453
East Timor,10,0.9,0.7,0.5,4.0,0.702108396428914
Ecuador,55,0.2545454545454545,1.2363636363636363,0.0,4.0,0.4462878547712862
Egypt,2179,1.6135842129417164,2.057824690224874,0.0,311.0,0.884698539692655
Equatorial Guinea,1,1.0,3.0,1.0,1.0,1.6094379124341003
Eritrea,14,2.857142857142857,3.0714285714285716,0.0,17.0,0.8485018463968654
Estonia,3,0.6666666666666666,0.0,1.0,1.0,0.46209812037329684
Ethiopia,190,11.405263157894737,4.747368421052632,2.0,766.0,1.6572550270416055
Fiji,5,1.4,3.4,0.0,7.0,0.6437751649736401
Finland,21,0.5714285714285714,1.6666666666666667,0.0,9.0,0.48498805034214215
France,503,0.6202783300198808,2.238568588469185,0.0,93.0,0.33828362023159475
Gabon,5,0.4,0.4,0.0,2.0,0.4394449154672439
Gambia,1,0.0,2.0,0.0,0.0,1.0986122886681098
Georgia,114,0.4473684210526316,1.5789473684210527,0.0,5.0,0.6850935539899041
Germany,284,0.20774647887323944,1.0246478873239437,0.0,12.0,0.3649909772311905
Ghana,17,0.47058823529411764,1.4705882352941178,0.0,2.0,0.8884948572397362
Greece,659,0.02276176024279211,0.14871016691957512,0.0,3.0,0.08799856467751477
Guatemala,24,0.8333333333333334,0.9166666666666666,1.0,2.0,0.8098353234255412
Guinea,20,10.45,1.85,1.0,60.0,1.4011349240384408
Guinea-Bissau,9,1.8888888888888888,3.0,1.0,11.0,1.3354520156479819
Guyana,16,2.0625,1.125,0.0,12.0,0.7303247928694176
Haiti,39,0.7948717948717948,1.564102564102564,0.0,7.0,0.7398212050931753
Honduras,23,2.0434782608695654,0.7391304347826086,1.0,28.0,0.691219621399208
Hong Kong,5,0.0,12.8,0.0,0.0,1.613931061377233
Hungary,8,0.375,0.375,0.0,2.0,0.41197960825054114
Iceland,2,0.0,0.0,0.0,0.0,0.0
India,10887,1.011848994213282,1.8203361807660512,0.0,188.0,0.7027568335070841
Indonesia,638,1.457680250783699,3.24294670846395,0.0,101.0,0.8941963025294578
International,1,1.0,12.0,1.0,1.0,2.6390573296152584
Iran,182,3.340659340659341,7.186813186813187,1.0,40.0,1.3190581764049245
Iraq,27360,2.9604166666666667,5.049780701754386,1.0,1700.0,1.4637899310589548
Ireland,194,0.020618556701030927,0.0979381443298969,0.0,1.0,0.06282972771972802
Israel,1318,0.7397572078907435,3.5371775417298936,0.0,31.0,0.6582743158856532
Italy,161,0.037267080745341616,0.7701863354037267,0.0,2.0,0.27631967106669647
Ivory Coast,66,3.5606060606060606,2.4696969696969697,1.0,41.0,1.1733086565961715
Jamaica,4,0.0,0.5,0.0,0.0,0.34657359027997264
Japan,44,0.4318181818181818,0.8181818181818182,0.0,19.0,0.16191996051121418
Jordan,48,2.5625,4.854166666666667,1.0,21.0,1.1789364086553273
Kazakhstan,23,1.2173913043478262,0.9130434782608695,0.0,8.0,0.8342915999758311
Kenya,772,2.1528497409326426,2.8639896373056994,0.0,152.0,1.0751915498393625
Kosovo,162,0.3765432098765432,1.3518518518518519,0.0,10.0,0.5695151633871458
Kuwait,12,3.1666666666666665,20.583333333333332,1.0,28.0,1.3380211907678323
Kyrgyzstan,31,0.3225806451612903,0.6451612903225806,0.0,2.0,0.5231862328616698
Laos,19,0.7894736842105263,3.736842105263158,0.0,10.0,1.2981695792422232
Latvia,5,0.2,7.0,0.0,1.0,0.8553332238032111
Lebanon,636,1.220125786163522,4.94496855345912,0.0,40.0,0.8770948594313976
Lesotho,3,0.3333333333333333,1.0,0.0,1.0,0.6931471805599453
Liberia,14,1.2857142857142858,0.5714285714285714,0.0,12.0,0.5671591260818358
Libya,2491,1.1710156563629064,1.541549578482537,0.0,141.0,0.6569851370277756
Lithuania,2,0.0,0.0,0.0,0.0,0.0
Macedonia,106,0.4528301886792453,0.5094339622641509,0.0,11.0,0.382849884248848
Madagascar,13,0.46153846153846156,9.615384615384615,0.0,3.0,0.8104070079119248
Malawi,9,0.1111111111111111,0.1111111111111111,0.0,1.0,0.15403270679109896
Malaysia,72,0.3055555555555556,0.3194444444444444,0.0,4.0,0.306226484703799
Maldives,28,0.10714285714285714,0.9285714285714286,0.0,1.0,0.4279045647446068
Mali,976,3.2950819672131146,2.11577868852459,1.0,82.0,1.2269818010505937
Malta,5,0.2,0.0,0.0,1.0,0.13862943611198905
Mauritania,14,2.7857142857142856,2.142857142857143,0.0,23.0,0.9599439876539921
Mexico,196,1.2448979591836735,1.75,1.0,37.0,0.7777299554969157
Moldova,5,0.4,9.8,0.0,2.0,1.2507657623150945
Montenegro,8,0.25,0.125,0.0,1.0,0.25993019270997947
Morocco,14,5.5,10.714285714285714,4.0,19.0,2.2396393767592118
Mozambique,565,2.3805309734513274,0.8778761061946903,1.0,97.0,0.9274698046495929
Myanmar,551,1.2577132486388385,1.8166969147005445,0.0,45.0,0.7704582211712045
Namibia,27,0.9259259259259259,3.4814814814814814,0.0,5.0,1.119263672324807
Nepal,1508,1.2692307692307692,1.3919098143236075,0.0,518.0,0.4977559102153756
Netherlands,71,0.19718309859154928,0.5211267605633803,0.0,7.0,0.2197981513496529
New Caledonia,24,0.0,0.0,0.0,0.0,0.0
New Zealand,24,2.125,2.0833333333333335,0.0,43.0,0.32335279288389257
Nicaragua,16,1.0625,2.375,0.5,4.0,0.8479021015389725
Niger,217,9.009216589861751,3.313364055299539,3.0,230.0,1.718736555191486
