cluster,attacks_total,avg_killed,avg_wounded,median_killed,max_killed,severity_index,attacktype_Armed Assault,attacktype_Assassination,attacktype_Bombing/Explosion,attacktype_Facility/Infrastructure Attack,attacktype_Hijacking,attacktype_Hostage Taking (Barricade Incident),attacktype_Hostage Taking (Kidnapping),attacktype_Unarmed Assault,attacktype_Unknown,targettype_Abortion Related,targettype_Airports & Aircraft,targettype_Business,targettype_Educational Institution,targettype_Food or Water Supply,targettype_Government (Diplomatic),targettype_Government (General),targettype_Journalists & Media,targettype_Maritime,targettype_Military,targettype_NGO,targettype_Other,targettype_Police,targettype_Private Citizens & Property,targettype_Religious Figures/Institutions,targettype_Telecommunication,targettype_Terrorists/Non-State Militia,targettype_Tourists,targettype_Transportation,targettype_Unknown,targettype_Utilities,targettype_Violent Political Party,weaptype_Biological,weaptype_Chemical,weaptype_Explosives,weaptype_Fake Weapons,weaptype_Firearms,weaptype_Incendiary,weaptype_Melee,weaptype_Other,weaptype_Radiological,weaptype_Sabotage Equipment,weaptype_Unknown,"weaptype_Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",pct_successful,pct_suicide,num_groups,num_countries
0,772.5,6.3571341349742685,4.1062609900133396,1.78125,209.9375,1.41591078169765,0.4191578199712683,0.03522970277870778,0.1420560871113924,0.06785199393853812,0.008939153699645245,0.00778699839515505,0.1824435224285583,0.006456432992930406,0.13007828868380414,0.0,0.0050709749119663495,0.05175892383106183,0.018338085491943393,0.0011078364049820688,0.04949356062268889,0.06911646274249128,0.007392395334587963,0.0010844614733559687,0.19853452728792245,0.019187568490587188,0.0007100421598396125,0.06166459015916929,0.42868952023934026,0.028091224558605212,0.001240536324321425,0.007788305850233675,0.003545447796251375,0.027429570034311963,0.00747404638046935,0.007526292392149968,0.004755627513719875,0.0,0.0011572413346009063,0.16435605229157374,0.0,0.530232033008351,0.06583863853903288,0.03153518946993441,0.000635993055865,0.0,0.00035987036978161254,0.20588498193086033,0.0,0.9284335009699352,0.033290778245661116,19.1875,16
1,381.5833333333333,1.1164480918276634,4.07063743136613,0.0,145.08333333333334,0.46701629224705293,0.20460361351989478,0.0277173733420734,0.2785308758285158,0.40310127077375696,0.006157968724390359,0.009647733769910408,0.017104877382716183,0.046199034149967066,0.006937252508774791,0.004856944289708367,0.0067606664541159335,0.1630913118808682,0.01649365967885656,0.0011596823158136834,0.022920796100168474,0.09548195606954712,0.022088156425129235,0.00109850503446575,0.03750768351989525,0.004199161980340067,0.0004540992685556416,0.08899299382521068,0.279927413009583,0.140801234287509,0.05012796879008236,0.001309831088065275,0.00276849406389155,0.03306313682147736,0.01315285747602831,0.010680704389882325,0.0030627432308053416,0.002565574290609325,0.009786137180591858,0.2859279189057009,0.00011008366358431666,0.11958520565529658,0.4370793387767527,0.10038306912341936,0.005409645440716641,0.0,0.0063466507536186585,0.015266969044294684,0.017539407165414633,0.8571319564578115,0.020837266657129108,31.416666666666668,12
2,2827.046511627907,1.4439068847178174,2.46891157640705,0.2441860465116279,156.7906976744186,0.7995835327086612,0.22601671016088287,0.07611952418729345,0.4885508843632348,0.08109145923482114,0.0034538570590985653,0.005874535063850613,0.07750230565415082,0.006968428355064481,0.03442229592160294,0.0,0.005105862943541237,0.0926147451186591,0.021239609939054164,0.0010525889266082256,0.015946779229174195,0.11383504938293781,0.030779195608356926,0.005799055158303931,0.15336285654451337,0.006173489281968979,0.0008269654096835558,0.14732433974742765,0.24618806439937677,0.031404968013282075,0.007677338646807039,0.012484878629676352,0.004014393606947968,0.029585289636954146,0.045330927544577404,0.01889411861635133,0.010359483615797017,0.00027993573430328374,0.0017003617884023582,0.5239381757401652,0.00043295013566098405,0.2912866647677969,0.08046584106332953,0.027127159940343485,0.001092917231822477,0.0,0.002029802074931458,0.07101518961526555,0.0006310019079784349,0.8424884999167482,0.027186255407052287,33.93023255813954,43
